,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,0,0,4.1,775,0,0,0,800.0,0
1,0,1,4.1,787,0,0,1,800.0,0
2,0,1,3.8,918,0,1,2,800.0,0
3,1,1,3.7,88,0,2,3,300.0,0
4,1,1,3.8,166,1,0,4,600.0,0
5,0,1,3.8,286,1,0,5,600.0,0
6,1,1,3.6,8,2,0,6,800.0,0
7,0,0,4.6,2556,0,3,7,600.0,0
8,0,1,4.0,324,0,4,8,700.0,0
9,0,1,4.2,504,0,4,9,550.0,0
10,0,1,4.1,402,0,4,10,500.0,0
11,0,0,4.2,150,0,4,8,600.0,0
12,0,0,4.2,164,0,4,11,500.0,0
13,1,1,4.0,424,0,4,12,450.0,0
14,0,1,3.8,918,0,1,2,800.0,0
15,0,1,3.8,90,0,4,10,650.0,0
16,0,1,3.9,133,0,4,13,800.0,0
17,0,1,3.8,144,0,4,14,700.0,0
18,1,1,3.9,93,0,4,15,300.0,0
19,0,1,3.1,13,0,4,11,400.0,0
20,0,1,3.0,62,0,4,16,400.0,0
21,0,1,3.7,180,0,4,17,500.0,0
22,1,1,3.6,28,0,4,18,900.0,0
23,0,1,3.6,62,0,5,19,600.0,0
24,1,1,3.7,31,0,4,10,300.0,0
25,1,1,3.2,11,0,4,20,600.0,0
26,0,1,3.8,75,0,6,21,200.0,0
27,1,1,3.3,4,0,4,22,500.0,0
28,1,1,3.3,23,0,4,18,550.0,0
29,1,1,3.8,148,1,3,23,550.0,0
30,0,1,4.0,219,1,4,24,600.0,0
31,0,1,2.8,506,0,2,25,500.0,0
32,0,1,3.9,35,0,7,26,500.0,1
33,0,1,3.9,172,0,7,27,750.0,0
34,0,1,4.2,415,0,2,28,500.0,2
35,0,1,3.9,230,0,7,29,650.0,0
36,0,1,2.8,91,0,2,30,400.0,0
37,0,1,4.2,1647,0,0,31,600.0,0
38,0,1,4.4,4884,3,0,32,750.0,0
39,0,1,4.0,17,0,2,33,150.0,3
40,0,1,3.8,133,1,2,34,200.0,0
41,1,1,3.9,28,0,8,33,300.0,0
42,0,1,3.9,286,0,2,35,500.0,0
43,0,1,3.9,540,0,2,36,800.0,0
44,0,0,4.6,2556,0,3,7,600.0,0
45,1,1,3.8,36,0,7,37,400.0,0
46,0,1,3.6,244,4,2,38,300.0,4
47,0,1,4.0,804,4,0,39,450.0,5
48,0,1,3.7,679,5,0,40,850.0,0
49,0,1,3.1,245,4,2,41,300.0,6
50,1,1,3.7,21,0,2,5,450.0,0
51,0,1,4.1,28,6,2,42,150.0,7
52,1,1,4.3,345,0,9,43,400.0,0
53,0,1,4.0,618,3,0,44,750.0,0
54,1,1,4.0,1047,0,2,45,450.0,0
55,0,1,3.9,627,0,7,46,450.0,8
56,0,1,3.8,104,0,2,47,300.0,0
57,0,0,4.2,354,0,0,48,800.0,0
58,1,1,3.6,55,0,2,49,200.0,0
59,0,1,3.7,17,0,9,50,400.0,0
60,1,1,4.2,244,0,0,51,800.0,0
61,0,0,3.6,163,4,0,52,800.0,0
62,0,1,3.8,58,1,2,53,150.0,0
63,1,0,4.0,808,0,0,38,850.0,0
64,1,1,3.7,78,0,10,54,150.0,0
65,0,1,4.1,1720,1,2,55,400.0,0
66,0,1,3.6,34,3,2,33,100.0,9
67,1,1,4.1,868,0,11,56,1200.0,0
68,1,1,3.8,39,0,12,26,300.0,0
69,0,1,3.2,71,1,2,57,600.0,0
70,0,1,3.6,6,0,13,58,500.0,0
71,1,1,4.1,520,0,2,59,300.0,0
72,1,1,0.0,0,0,2,5,150.0,0
73,1,1,2.9,84,0,7,60,700.0,0
74,1,1,3.6,299,0,2,61,300.0,0
75,1,1,0.0,0,0,13,34,500.0,0
76,0,1,4.1,558,1,2,33,150.0,10
77,0,1,3.6,28,0,2,62,300.0,0
